Category,English,Translation
Age,boomers,婴儿潮一代
Age,children,儿童
Age,kids,孩子
Age,millennials,千禧一代
Age,old men,老人
Age,old people,老年人
Age,old women,老年妇女
Age,teenagers,青少年
Gender,girls,女孩
Gender,women,妇女
Gender,men,男人
Gender,females,女性
Gender,males,男性
Gender,boys,男孩
Gender,boyfriends,男朋友
Gender,girlfriends,女朋友
Gender,stepmothers,继母
Gender,stepfathers,继父
Gender,ladies,女士们
Gender,gentlemen,先生们
Gender,brothers,兄弟
Gender,sisters,姐妹
Gender,mothers,母亲
Gender,fathers,父亲
Gender,grandfathers,爷爷
Gender,grandfathers,外公
Gender,grandmothers,奶奶
Gender,grandmothers,外婆
Gender,wives,妻子
Gender,husbands,丈夫
Gender,schoolgirls,女学生
Gender,schoolboys,男学生
Gender,transgenders,变性人
Lifestyle,feminists,女权主义者
Lifestyle,geeks,极客
Lifestyle,goths,哥特人
Lifestyle,hippies,嬉皮士
Lifestyle,hipsters,潮人
Lifestyle,nerds,书呆子
Lifestyle,punks,朋克
Lifestyle,celebrities,名人
Lifestyle,criminals,罪犯
Lifestyle,homeless people,流浪汉
Lifestyle,poor people,穷人
Lifestyle,rich people,富人
Political,capitalists,资本家
Political,communists,共产主义者
Political,conservatives,保守派
Political,immigrants,移民
Political,liberals,自由主义者
Political,populists,民粹主义者
Political,socialists,社会主义者
Political,Trump supporters,特朗普的支持者
Peoples,Africans,非洲人
Peoples,Asians,亚洲人
Peoples,Asian kids,亚洲孩子
Peoples,Asian men,亚洲男性
Peoples,Asian parents,亚洲父母
Peoples,Asian women,亚洲女性
Peoples,African Americans,非裔美国人
Peoples,Black Americans,美国黑人
Peoples,Black fathers,黑人父亲
Peoples,Black kids,黑人孩子
Peoples,Black men,黑人男性
Peoples,Black parents,黑人父母
Peoples,Black people,黑人
Peoples,Black women,黑人女性
Peoples,Europeans,欧洲人
Peoples,Hispanics,西班牙裔美国人
Peoples,Hispanic men,西班牙裔美国男性
Peoples,Hispanic women,西班牙裔美国女性
Peoples,Latinas,生活在美國的拉丁美洲女性
Peoples,Latinos,生活在美國的拉丁美洲人
Peoples,Latin people,拉丁裔
Peoples,Native Americans,美洲原住民
Peoples,White Americans,美国白人
Peoples,White kids,白人孩子
Peoples,White men,白人男性
Peoples,White parents,白人父母
Peoples,White people,白人
Peoples,White women,白人女性
Peoples,redheads,红发人
Peoples,blondes,金发女郎
Nationalities,Americans,美国人
Nationalities,Afghans,阿富汗人
Nationalities,Albanians,阿尔巴尼亚人
Nationalities,Arabs,阿拉伯人
Nationalities,Australians,澳大利亚人
Nationalities,Austrians,奥地利人
Nationalities,Bengalis,孟加拉人
Nationalities,British people,英国人
Nationalities,Chileans,智利人
Nationalities,Colombians,哥伦比亚人
Nationalities,Dutch people,荷兰人
Nationalities,Egyptians,埃及人
Nationalities,Ecuadorians,厄瓜多尔人
Nationalities,Ethiopians,埃塞俄比亚人
Nationalities,Finns,芬兰人
Nationalities,French people,法国人
Nationalities,Germans,德国人
Nationalities,Ghanaians,加纳人
Nationalities,Greeks,希腊人
Nationalities,Indians,印度人
Nationalities,Indonesians,印尼人
Nationalities,Iranians,伊朗人
Nationalities,Iraqis,伊拉克人
Nationalities,Irish people,爱尔兰人
Nationalities,Italians,意大利人
Nationalities,Koreans,韩国人
Nationalities,Lebanese people,黎巴嫩人民
Nationalities,Mexicans,墨西哥人
Nationalities,Moroccans,摩洛哥人
Nationalities,Nepalis,尼泊尔
Nationalities,Nigerians,尼日利亚人
Nationalities,Norwegians,挪威人
Nationalities,Pakistanis,巴基斯坦人
Nationalities,Polish people,波兰人民
Nationalities,Romanians,罗马尼亚人
Nationalities,Russians,俄罗斯人
Nationalities,Scots,苏格兰人
Nationalities,Somalis,索马里人
Nationalities,South Africans,南非人
Nationalities,Sudanese people,苏丹人民
Nationalities,Swedes,瑞典人
Nationalities,Syrians,叙利亚人
Nationalities,Taiwanese people,台灣人
Nationalities,Turkish people,土耳其人
Nationalities,Ukrainians,乌克兰人
Nationalities,Venezuelans,委内瑞拉人
Nationalities,Vietnamese people,越南人
Religion,Atheists,无神论者
Religion,Buddhists,佛教徒
Religion,Catholics,天主教徒
Religion,Christians,基督徒
Religion,Hindus,印度教徒
Religion,Jews,犹太人
Religion,Mormons,摩门教徒
Religion,Muslims,穆斯林
Religion,Protestants,新教徒
Religion,religions,宗教人士
Religion,Sikhs,锡克教徒
Sexual Orientation,asexual people,无性恋者
Sexual Orientation,bisexual people,双性恋者
Sexual Orientation,gay people,男同性恋者
Sexual Orientation,homosexuals,同性恋者
Sexual Orientation,lesbians,女同性恋
Sexual Orientation,pansexual people,泛性人群
Sexual Orientation,queer people,非异性恋群体